Exposure to risk (period 5x10), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1990-1999     65-69          3506619.50      3288913.70      6795533.20
AUS      1990-1999     70-74          3098844.95      2603709.85      5702554.80
AUS      1990-1999     75-79          2410169.76      1750975.27      4161145.02
AUS      1990-1999     80-84          1658048.91       971813.76      2629862.66
AUS      1990-1999     85-89           887120.38       404861.96      1291982.33
AUS      1990-1999     90-94           330515.44       108548.02       439063.45
AUS      1990-1999     95-99            76104.14        16929.20        93033.34
AUS      1990-1999    100-104           10002.97         1621.52        11624.48
AUS      1990-1999    105-109             510.78           72.52          583.29
AUS      1990-1999    110+                  4.34            0.00            4.34
AUS      2000-2009        0           1288512.69      1359147.27      2647659.96
AUS      2000-2009      1-4           5079886.76      5352397.64     10432284.39
AUS      2000-2009      5-9           6493345.21      6837357.61     13330702.81
AUS      2000-2009     10-14          6671983.22      7028331.41     13700314.63
AUS      2000-2009     15-19          6752206.88      7079184.25     13831391.13
AUS      2000-2009     20-24          6899009.40      7174986.14     14073995.54
AUS      2000-2009     25-29          7034169.27      7113452.51     14147621.78
AUS      2000-2009     30-34          7423794.18      7340354.91     14764149.09
AUS      2000-2009     35-39          7589867.61      7490828.95     15080696.56
AUS      2000-2009     40-44          7562504.32      7457660.99     15020165.32
AUS      2000-2009     45-49          7258914.49      7146868.93     14405783.42
AUS      2000-2009     50-54          6673803.50      6635282.06     13309085.56
AUS      2000-2009     55-59          5802615.90      5856953.01     11659568.91
AUS      2000-2009     60-64          4706361.72      4746853.75      9453215.47
AUS      2000-2009     65-69          3806556.14      3716123.89      7522680.03
AUS      2000-2009     70-74          3314239.96      3053404.75      6367644.71
AUS      2000-2009     75-79          2938241.15      2407725.19      5345966.34
AUS      2000-2009     80-84          2227806.66      1494033.20      3721839.86
AUS      2000-2009     85-89          1321171.78       683245.12      2004416.90
AUS      2000-2009     90-94           550175.73       207909.82       758085.56
AUS      2000-2009     95-99           131849.25        34891.45       166740.69
AUS      2000-2009    100-104           15653.74         2920.20        18573.94
AUS      2000-2009    105-109             807.05           92.44          899.50
AUS      2000-2009    110+                  6.15            0.00            6.15
AUS      2010-2019        0           1481335.63      1566888.53      3048224.16
AUS      2010-2019      1-4           5954519.05      6285263.64     12239782.69
AUS      2010-2019      5-9           7315960.06      7720103.51     15036063.57
AUS      2010-2019     10-14          6985985.03      7374287.56     14360272.59
AUS      2010-2019     15-19          7164583.89      7554202.44     14718786.34
AUS      2010-2019     20-24          8158135.29      8537747.37     16695882.66
AUS      2010-2019     25-29          8773105.44      8890856.93     17663962.37
AUS      2010-2019     30-34          8569606.65      8531804.59     17101411.24
AUS      2010-2019     35-39          8135856.85      8073491.68     16209348.54
AUS      2010-2019     40-44          8157341.92      8016031.29     16173373.22
AUS      2010-2019     45-49          8052300.27      7831122.89     15883423.17
AUS      2010-2019     50-54          7750361.08      7553592.81     15303953.89
AUS      2010-2019     55-59          7276816.90      7056459.79     14333276.69
AUS      2010-2019     60-64          6518931.61      6309653.78     12828585.39
AUS      2010-2019     65-69          5606164.81      5460519.10     11066683.91
AUS      2010-2019     70-74          4370956.39      4195158.07      8566114.46
AUS      2010-2019     75-79          3314483.05      2956969.49      6271452.54
