Death rates (period 5x5), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1955-1959      1-4             0.001162        0.001435        0.001302
AUS      1955-1959      5-9             0.000398        0.000578        0.000490
AUS      1955-1959     10-14            0.000349        0.000532        0.000443
AUS      1955-1959     15-19            0.000511        0.001403        0.000967
AUS      1955-1959     20-24            0.000622        0.001793        0.001229
AUS      1955-1959     25-29            0.000732        0.001583        0.001179
AUS      1955-1959     30-34            0.001047        0.001847        0.001462
AUS      1955-1959     35-39            0.001577        0.002339        0.001966
AUS      1955-1959     40-44            0.002426        0.003524        0.002984
AUS      1955-1959     45-49            0.003908        0.005961        0.004975
AUS      1955-1959     50-54            0.005748        0.010040        0.007981
AUS      1955-1959     55-59            0.008752        0.016903        0.012797
AUS      1955-1959     60-64            0.013944        0.026538        0.019859
AUS      1955-1959     65-69            0.023217        0.042103        0.031980
AUS      1955-1959     70-74            0.039412        0.063802        0.050363
AUS      1955-1959     75-79            0.066768        0.097898        0.079886
AUS      1955-1959     80-84            0.107131        0.139950        0.120063
AUS      1955-1959     85-89            0.178281        0.219158        0.193527
AUS      1955-1959     90-94            0.259439        0.304475        0.275172
AUS      1955-1959     95-99            0.393910        0.430241        0.405960
AUS      1955-1959    100-104           0.497429        0.668313        0.557681
AUS      1955-1959    105-109           1.256693        3.176471        1.780069
AUS      1955-1959    110+                    .              .              .
AUS      1960-1964        0             0.017574        0.022360        0.020028
AUS      1960-1964      1-4             0.000967        0.001104        0.001037
AUS      1960-1964      5-9             0.000378        0.000519        0.000450
AUS      1960-1964     10-14            0.000292        0.000504        0.000400
AUS      1960-1964     15-19            0.000505        0.001204        0.000863
AUS      1960-1964     20-24            0.000610        0.001653        0.001147
AUS      1960-1964     25-29            0.000712        0.001446        0.001092
AUS      1960-1964     30-34            0.000965        0.001716        0.001357
AUS      1960-1964     35-39            0.001515        0.002307        0.001924
AUS      1960-1964     40-44            0.002304        0.003714        0.003021
AUS      1960-1964     45-49            0.003714        0.006122        0.004935
AUS      1960-1964     50-54            0.005590        0.010162        0.007946
AUS      1960-1964     55-59            0.008275        0.016740        0.012603
AUS      1960-1964     60-64            0.013663        0.027264        0.020203
AUS      1960-1964     65-69            0.021808        0.042021        0.030847
AUS      1960-1964     70-74            0.037323        0.064116        0.049016
AUS      1960-1964     75-79            0.063566        0.096465        0.077224
AUS      1960-1964     80-84            0.101822        0.138268        0.115686
AUS      1960-1964     85-89            0.165087        0.213657        0.182051
AUS      1960-1964     90-94            0.253681        0.305404        0.270260
AUS      1960-1964     95-99            0.375955        0.440087        0.394489
AUS      1960-1964    100-104           0.474870        0.465013        0.471966
AUS      1960-1964    105-109           0.280110        0.186667        0.267850
AUS      1960-1964    110+              0.000000              .        0.000000
AUS      1965-1969        0             0.016135        0.020851        0.018552
AUS      1965-1969      1-4             0.000838        0.001003        0.000923
AUS      1965-1969      5-9             0.000349        0.000455        0.000403
AUS      1965-1969     10-14            0.000262        0.000474        0.000370
AUS      1965-1969     15-19            0.000556        0.001371        0.000973
AUS      1965-1969     20-24            0.000597        0.001727        0.001176
AUS      1965-1969     25-29            0.000684        0.001473        0.001092
AUS      1965-1969     30-34            0.000923        0.001636        0.001291
AUS      1965-1969     35-39            0.001492        0.002401        0.001964
AUS      1965-1969     40-44            0.002304        0.003800        0.003073
