Death rates (cohort 5x5), 	Last modified: 05 Aug 2025; Methods Protocol: v6 (2017) 

PopName    Year          Age             Female            Male           Total
AUS      1880-1884     25-29                   .               .               .
AUS      1880-1884     30-34                   .               .               .
AUS      1880-1884     35-39                   .               .               .
AUS      1880-1884     40-44            0.005376        0.006810        0.006113
AUS      1880-1884     45-49            0.006382        0.008419        0.007431
AUS      1880-1884     50-54            0.008367        0.011714        0.010083
AUS      1880-1884     55-59            0.011362        0.017976        0.014710
AUS      1880-1884     60-64            0.017112        0.027578        0.022290
AUS      1880-1884     65-69            0.025798        0.042481        0.033749
AUS      1880-1884     70-74            0.041058        0.065231        0.052008
AUS      1880-1884     75-79            0.065327        0.097181        0.078698
AUS      1880-1884     80-84            0.102988        0.140423        0.117006
AUS      1880-1884     85-89            0.163273        0.214587        0.179923
AUS      1880-1884     90-94            0.229651        0.291518        0.246019
AUS      1880-1884     95-99            0.324181        0.383096        0.336449
AUS      1880-1884    100-104           0.418255        0.472540        0.426587
AUS      1880-1884    105-109           0.601597        0.659870        0.609936
AUS      1880-1884    110+              1.590533              .        1.590533
AUS      1885-1889        0                    .               .               .
AUS      1885-1889      1-4                    .               .               .
AUS      1885-1889      5-9                    .               .               .
AUS      1885-1889     10-14                   .               .               .
AUS      1885-1889     15-19                   .               .               .
AUS      1885-1889     20-24                   .               .               .
AUS      1885-1889     25-29                   .               .               .
AUS      1885-1889     30-34                   .               .               .
AUS      1885-1889     35-39            0.004695        0.005074        0.004889
AUS      1885-1889     40-44            0.004658        0.005906        0.005296
AUS      1885-1889     45-49            0.005958        0.007955        0.006974
AUS      1885-1889     50-54            0.008057        0.011885        0.009994
AUS      1885-1889     55-59            0.010891        0.017480        0.014188
AUS      1885-1889     60-64            0.015965        0.027888        0.021804
AUS      1885-1889     65-69            0.024128        0.042030        0.032551
AUS      1885-1889     70-74            0.038314        0.063179        0.049378
AUS      1885-1889     75-79            0.063405        0.099071        0.077998
AUS      1885-1889     80-84            0.099612        0.142610        0.115222
AUS      1885-1889     85-89            0.154255        0.206009        0.170341
AUS      1885-1889     90-94            0.212194        0.269449        0.226739
AUS      1885-1889     95-99            0.314102        0.373787        0.326046
AUS      1885-1889    100-104           0.442561        0.489058        0.450068
AUS      1885-1889    105-109           0.705679        0.769270        0.715263
AUS      1885-1889    110+              0.880143              .        0.880143
AUS      1890-1894        0                    .               .               .
AUS      1890-1894      1-4                    .               .               .
AUS      1890-1894      5-9                    .               .               .
AUS      1890-1894     10-14                   .               .               .
AUS      1890-1894     15-19                   .               .               .
AUS      1890-1894     20-24                   .               .               .
AUS      1890-1894     25-29                   .               .               .
AUS      1890-1894     30-34            0.003758        0.003885        0.003821
AUS      1890-1894     35-39            0.004109        0.004430        0.004270
AUS      1890-1894     40-44            0.004402        0.005294        0.004847
AUS      1890-1894     45-49            0.005730        0.007733        0.006725
AUS      1890-1894     50-54            0.007648        0.011175        0.009389
AUS      1890-1894     55-59            0.010143        0.017763        0.013857
AUS      1890-1894     60-64            0.014586        0.027015        0.020477
AUS      1890-1894     65-69            0.022476        0.042303        0.031445
AUS      1890-1894     70-74            0.037567        0.066019        0.049609
AUS      1890-1894     75-79            0.063068        0.101898        0.078143
AUS      1890-1894     80-84            0.091435        0.136774        0.106714
AUS      1890-1894     85-89            0.135691        0.185986        0.150016
AUS      1890-1894     90-94            0.205413        0.265745        0.219376
AUS      1890-1894     95-99            0.307228        0.369676        0.318697
AUS      1890-1894    100-104           0.423166        0.491197        0.432213
AUS      1890-1894    105-109           0.679784        0.751615        0.685936
AUS      1890-1894    110+              1.926724              .        1.926724
AUS      1895-1899        0                    .               .               .
AUS      1895-1899      1-4                    .               .               .
AUS      1895-1899      5-9                    .               .               .
AUS      1895-1899     10-14                   .               .               .
AUS      1895-1899     15-19                   .               .               .
AUS      1895-1899     20-24                   .               .               .
AUS      1895-1899     25-29            0.003369        0.003336        0.003353
AUS      1895-1899     30-34            0.003345        0.003466        0.003405
AUS      1895-1899     35-39            0.003661        0.003963        0.003812
AUS      1895-1899     40-44            0.003937        0.005016        0.004474
AUS      1895-1899     45-49            0.005067        0.006927        0.005991
AUS      1895-1899     50-54            0.007056        0.011024        0.009016
AUS      1895-1899     55-59            0.009089        0.017034        0.012953
AUS      1895-1899     60-64            0.013468        0.026296        0.019520
AUS      1895-1899     65-69            0.021556        0.042687        0.031055
AUS      1895-1899     70-74            0.036198        0.065213        0.048375
AUS      1895-1899     75-79            0.054490        0.092899        0.069051
AUS      1895-1899     80-84            0.080551        0.125527        0.095354
AUS      1895-1899     85-89            0.129480        0.183699        0.144497
AUS      1895-1899     90-94            0.199798        0.260684        0.213269
AUS      1895-1899     95-99            0.302914        0.366155        0.313806
AUS      1895-1899    100-104           0.448602        0.489678        0.454428
AUS      1895-1899    105-109           0.628583        0.790657        0.644146
AUS      1895-1899    110+              1.490964              .        1.490964
AUS      1900-1904        0                    .               .               .
AUS      1900-1904      1-4                    .               .               .
AUS      1900-1904      5-9                    .               .               .
AUS      1900-1904     10-14                   .               .               .
AUS      1900-1904     15-19                   .               .               .
AUS      1900-1904     20-24            0.002963        0.002984        0.002974
AUS      1900-1904     25-29            0.003081        0.002968        0.003023
AUS      1900-1904     30-34            0.002951        0.002944        0.002948
AUS      1900-1904     35-39            0.003212        0.003550        0.003386
AUS      1900-1904     40-44            0.003537        0.004132        0.003844
AUS      1900-1904     45-49            0.004758        0.006741        0.005784
AUS      1900-1904     50-54            0.006317        0.010464        0.008453
AUS      1900-1904     55-59            0.008509        0.016909        0.012759
AUS      1900-1904     60-64            0.013825        0.028286        0.020911
AUS      1900-1904     65-69            0.021735        0.043516        0.031936
AUS      1900-1904     70-74            0.031525        0.059772        0.043903
AUS      1900-1904     75-79            0.046665        0.083379        0.061359
AUS      1900-1904     80-84            0.075658        0.119013        0.090885
AUS      1900-1904     85-89            0.120482        0.170574        0.135501
AUS      1900-1904     90-94            0.195052        0.252880        0.209321
AUS      1900-1904     95-99            0.304466        0.362231        0.315803
AUS      1900-1904    100-104           0.449707        0.493170        0.456549
AUS      1900-1904    105-109           0.659110        0.817778        0.676982
AUS      1900-1904    110+              1.532357              .        1.532357
AUS      1905-1909        0                    .               .               .
AUS      1905-1909      1-4                    .               .               .
AUS      1905-1909      5-9                    .               .               .
AUS      1905-1909     10-14                   .               .               .
AUS      1905-1909     15-19            0.001809        0.002263        0.002041
AUS      1905-1909     20-24            0.002473        0.002542        0.002509
AUS      1905-1909     25-29            0.002671        0.002517        0.002591
AUS      1905-1909     30-34            0.002538        0.002436        0.002485
AUS      1905-1909     35-39            0.002682        0.002744        0.002714
AUS      1905-1909     40-44            0.003061        0.004002        0.003551
AUS      1905-1909     45-49            0.004175        0.006063        0.005165
AUS      1905-1909     50-54            0.005673        0.010064        0.007957
AUS      1905-1909     55-59            0.008595        0.017069        0.012923
AUS      1905-1909     60-64            0.013275        0.027235        0.020136
AUS      1905-1909     65-69            0.018777        0.038444        0.028010
AUS      1905-1909     70-74            0.026661        0.053053        0.038313
AUS      1905-1909     75-79            0.042762        0.076383        0.056452
AUS      1905-1909     80-84            0.068674        0.108745        0.083200
AUS      1905-1909     85-89            0.113914        0.162956        0.129253
AUS      1905-1909     90-94            0.187845        0.242573        0.202053
AUS      1905-1909     95-99            0.296595        0.362408        0.310151
AUS      1905-1909    100-104           0.463876        0.518924        0.472784
AUS      1905-1909    105-109           0.651418        0.749370        0.663740
AUS      1905-1909    110+              1.259531              .        1.259531
AUS      1910-1914        0                    .               .               .
AUS      1910-1914      1-4                    .               .               .
AUS      1910-1914      5-9                    .               .               .
AUS      1910-1914     10-14            0.001122        0.001436        0.001281
AUS      1910-1914     15-19            0.001487        0.001985        0.001739
AUS      1910-1914     20-24            0.002032        0.002428        0.002233
AUS      1910-1914     25-29            0.002174        0.002235        0.002205
AUS      1910-1914     30-34            0.002059        0.001927        0.001993
AUS      1910-1914     35-39            0.002143        0.002615        0.002383
AUS      1910-1914     40-44            0.002542        0.003618        0.003095
AUS      1910-1914     45-49            0.003810        0.006015        0.004942
AUS      1910-1914     50-54            0.005785        0.010527        0.008198
AUS      1910-1914     55-59            0.008537        0.016909        0.012731
AUS      1910-1914     60-64            0.011873        0.024567        0.017989
AUS      1910-1914     65-69            0.016294        0.033925        0.024492
AUS      1910-1914     70-74            0.025338        0.047895        0.035278
AUS      1910-1914     75-79            0.039513        0.069013        0.051646
AUS      1910-1914     80-84            0.064478        0.102421        0.078420
